Color,Gold,Creep Score,Wards,Baron Kills,Dragon Kills,Won
Red,99.288,877,55,1,2,1
Blue,80.751,731,55,0,3,0
Red,70.505,655,49,0,2,1
Blue,57.075,645,55,0,1,0
Red,27.511,248,23,0,0,0
Blue,23.559,233,16,0,0,1
Red,73.192,452,47,1,1,1
Blue,68.624,451,36,0,0,0
Red,58.97,545,49,0,1,1
Blue,54.224,442,73,0,3,0
Red,52.391,475,57,1,1,0
Blue,56.35,524,53,0,1,1
Red,26.384,262,25,0,0,0
Blue,36.872,394,33,0,1,1
Red,61.787,743,52,0,1,0
Blue,69.503,638,55,1,2,1
Red,17.309,198,16,0,0,0
Blue,24.975,284,16,0,1,1
Red,55.965,606,37,0,1,0
Blue,58.896,613,37,0,1,1
Red,40.53,489,52,0,0,0
Blue,53.26,526,36,0,3,1
Red,35.607,357,24,0,0,0
Blue,44.886,367,30,0,1,1
Red,36.73,515,29,0,0,0
Blue,52.908,567,39,1,2,1
Red,65.931,522,53,1,3,1
Blue,56.534,593,39,0,1,0
Red,38.564,424,24,0,0,1
Blue,32.964,375,32,0,0,0
Red,18.655,214,21,0,0,0
Blue,26.91,215,27,0,1,1
Red,42.433,506,62,0,0,0
Blue,54.725,592,39,0,2,1
Red,50.347,609,77,0,2,0
Blue,59.693,571,60,1,1,1
Red,40.568,460,33,0,0,0
Blue,55.762,520,30,0,2,1
Red,32.777,321,27,0,1,1
Blue,22.771,255,22,0,0,0
Red,54.93,501,60,1,1,0
Blue,53.618,507,51,0,2,1
Red,45.165,460,26,0,0,1
Blue,55.212,544,39,1,1,0
Red,58.606,602,60,1,0,1
Blue,53.222,573,66,0,3,0
Red,41.333,408,47,0,0,0
Blue,58.555,511,37,1,3,1
Red,68.157,731,44,0,2,1
Blue,51.065,535,56,0,0,0
Red,42.765,507,33,0,1,1
Blue,35.457,433,47,1,1,0
Red,56.441,607,36,0,2,1
Blue,43.886,586,39,0,0,0
Red,32.699,313,18,0,0,0
Blue,35.623,333,31,0,1,1
Red,17.386,173,12,0,0,0
Blue,26.179,215,18,0,0,1
Red,40.159,428,33,0,1,0
Blue,54.72,547,56,0,1,1
Red,44.239,452,49,0,1,1
Blue,49.292,507,48,0,2,0
Red,43.586,455,22,0,0,0
Blue,55.5,603,48,1,3,1
Red,66.484,581,59,0,1,0
Blue,74.162,647,31,0,2,1
Red,59.255,668,56,0,0,1
Blue,55.209,565,46,0,2,0
Red,76.655,735,54,0,3,0
Blue,70.574,681,61,1,0,1
