Color,Gold,Creep Score,Wards,Baron Kills,Dragon Kills,Won
Red,99.288,877,55,1,2,1
Blue,80.751,731,55,0,3,0
Red,70.505,655,49,0,2,1
Blue,57.075,645,55,0,1,0
Red,27.511,248,23,0,0,0
Blue,23.559,233,16,0,0,1
Red,73.192,452,47,1,1,1
Blue,68.624,451,36,0,0,0
Red,58.97,545,49,0,1,1
Blue,54.224,442,73,0,3,0
Red,52.391,475,57,1,1,0
Blue,56.35,524,53,0,1,1
Red,26.384,262,25,0,0,0
Blue,36.872,394,33,0,1,1
Red,61.787,743,52,0,1,0
Blue,69.503,638,55,1,2,1
Red,17.309,198,16,0,0,0
Blue,24.975,284,16,0,1,1
Red,55.965,606,37,0,1,0
Blue,58.896,613,37,0,1,1
